,Appointed,Name,Status,Address,Role,Appointed on,Register Location,Registration Number,Company status,Resigned on,Correspondence address,Register location,Registration number,Company number
76,SKY CHARM SECRETARIAL SERVICES LIMITED,"TOJIN INDUSTRY CO., LTD (09731916)",,,Secretary,13 August 2015,,,Active,9 August 2016,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09731916
77,SKY CHARM SECRETARIAL SERVICES LIMITED,"SHANGHAI YUANQI NUMERICAL CONTROL TECHNOLOGY CO., LTD (09731898)",,,Secretary,13 August 2015,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09731898
78,SKY CHARM SECRETARIAL SERVICES LIMITED,"PACIFIC INT'L CO., LIMITED (07745934)",,,Secretary,11 August 2015,,,Active,9 August 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,07745934
79,SKY CHARM SECRETARIAL SERVICES LIMITED,"PDPG CHEMICAL CO., LTD (09180262)",,,Secretary,18 August 2014,,,Active,13 August 2015,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09180262
80,SKY CHARM SECRETARIAL SERVICES LIMITED,"HEBEI YAGRADN INDUSTRIAL CO., LTD. (07782048)",,,Secretary,8 August 2014,,,Active,8 August 2015,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,07782048
81,SKY CHARM SECRETARIAL SERVICES LIMITED,"UK HD FOODS CO., LIMITED (09712007)",,,Secretary,31 July 2015,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09712007
82,SKY CHARM SECRETARIAL SERVICES LIMITED,"DINARSU INTERNATIONAL TRADING CO., LTD (09090608)",,,Secretary,17 June 2015,,,Active,17 June 2016,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09090608
83,SKY CHARM SECRETARIAL SERVICES LIMITED,ONEMORE INDUSTRY LTD (09732986),,,Secretary,14 August 2015,,,Dissolved,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09732986
84,SKY CHARM SECRETARIAL SERVICES LIMITED,WINSPEED TRANSPORTATION COMPANY LIMITED (07375437),,,Secretary,9 August 2015,,,Active,3 August 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,07375437
85,SKY CHARM SECRETARIAL SERVICES LIMITED,"NINGBO RELAYLINE INDUSTRY & TRADE CO., LTD (09267480)",,,Secretary,14 August 2015,,,Active,13 September 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,09267480
86,SKY CHARM SECRETARIAL SERVICES LIMITED,SUNSHINE GENERAL PACKING LTD (08731981),,,Secretary,13 August 2015,,,Active,20 October 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,08731981
87,SKY CHARM SECRETARIAL SERVICES LIMITED,SINOCARE INTERNATIONAL LIMITED (08691513),,,Secretary,14 August 2015,,,Active,25 August 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,08691513
88,SKY CHARM SECRETARIAL SERVICES LIMITED,ADVANCED SEMITOOL TECHNOLOGY LTD (09220853),,,Secretary,4 August 2015,,,Active,2 September 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,09220853
89,SKY CHARM SECRETARIAL SERVICES LIMITED,"UK PACIFIC MATZKER OIL CO., LTD (09737382)",,,Secretary,18 August 2015,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09737382
90,SKY CHARM SECRETARIAL SERVICES LIMITED,"SHANGHAI FUSHENG INDUSTRIAL CO., LTD (08680068)",,,Secretary,24 July 2015,,,Active,18 August 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,08680068
91,SKY CHARM SECRETARIAL SERVICES LIMITED,"ANDING COMMERCIAL TRADING CO., LTD (09739060)",,,Secretary,19 August 2015,,,Active,,"Chase Business Centre, 39-41 Chase Side, London, United Kingdom, N14 5BP",UNITED KINGDOM,8026775,09739060
92,SKY CHARM SECRETARIAL SERVICES LIMITED,"VANKING CABLE CO., LTD. (08742813)",,,Secretary,19 August 2015,,,Active,9 October 2016,"Chase Business Centre, 39-41 Chase Side, London, England, N14 5BP",UNITED KINGDOM,8026775,08742813
