ship_imo,company_imo,role,company_name,company_address,date_of_effect
8520719,5571305,ISM Manager,KOREA PUKSONG SHIPPING CO,"Chilgol 2-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 01/03/2016
8909575,5878589,Ship manager/Commercial manager,CHONGBONG SHIPPING CO LTD,"Room 502, 90, Ponghak-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 04/08/2015
8909575,5878589,Registered owner,CHONGBONG SHIPPING CO LTD,"Room 502, 90, Ponghak-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 04/08/2015
8909575,5878589,ISM Manager,CHONGBONG SHIPPING CO LTD,"Room 502, 90, Ponghak-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 04/08/2015
8856962,5787667,Ship manager/Commercial manager,KOREA KWANGMYONG SHIPPING CO,"Tongmun 1-dong, Taedonggang-guyok, Pyongyang, North Korea.",since 18/06/2014
8856962,5787667,Registered owner,KOREA KWANGMYONG SHIPPING CO,"Tongmun 1-dong, Taedonggang-guyok, Pyongyang, North Korea.",since 07/12/2013
8856962,5787667,ISM Manager,KOREA KWANGMYONG SHIPPING CO,"Tongmun 1-dong, Taedonggang-guyok, Pyongyang, North Korea.",since 18/06/2014
9036533,4207626,Registered owner,HONGKONG SONG U TRADING GROUP,"Care of Natural Energy Development Exchange Corp , Chungsong 3-dong, Rakrang-guyok, Pyongyang, North Korea.",before 03/2016
9036533,5878592,Ship manager/Commercial manager,CHONNYON SHIPPING CO LTD,"Rakrang 3-dong, Rakrang-guyok, Pyongyang, North Korea.",since 30/06/2015
9036533,5878592,ISM Manager,CHONNYON SHIPPING CO LTD,"Rakrang 3-dong, Rakrang-guyok, Pyongyang, North Korea.",since 30/06/2015
9138680,5946075,Ship manager/Commercial manager,SUSAM SHIPPING CO,"Palgol-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 28/07/2016
9138680,5946075,Registered owner,SUSAM SHIPPING CO,"Palgol-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 28/07/2016
9138680,5946075,ISM Manager,SUSAM SHIPPING CO,"Palgol-dong, Mangyongdae-guyok, Pyongyang, North Korea.",since 28/07/2016
8914075,5805576,Ship manager/Commercial manager,JANGJINGANG SHIPPING CO LTD,"Haeun-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 08/05/2014
8914075,5805576,Registered owner,JANGJINGANG SHIPPING CO LTD,"Haeun-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 08/05/2014
8914075,5805576,ISM Manager,JANGJINGANG SHIPPING CO LTD,"Haeun-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 08/05/2014
8416009,1845381,Ship manager/Commercial manager,TAE DONG GANG SHIPPING CO,"Undok-dong, Pyongsong, Pyeong-annam-do, North Korea.",during 03/2011
8416009,1845381,ISM Manager,TAE DONG GANG SHIPPING CO,"Undok-dong, Pyongsong, Pyeong-annam-do, North Korea.",since 26/11/2010
8416009,1845381,Registered owner,TAE DONG GANG SHIPPING CO,"Undok-dong, Pyongsong, Pyeong-annam-do, North Korea.",during 03/2011
8306929,5619960,Ship manager/Commercial manager,KOREA OSONG SHIPPING CO,"Kansong-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 19/07/2016
8306929,5619960,Registered owner,KOREA OSONG SHIPPING CO,"Kansong-dong, Pyongchon-guyok, Pyongyang, North Korea.",since 19/07/2016
